sce	spo	score
852203	2540199	2.195
852203	2539225	2.195
852202	2541245	2.195
852200	2541386	0.595
852199	2543502	1.667
852198	2543074	0.857
852196	2542768	0.676
852194	2542438	0.928
852192	2539001	0.207
852191	2543453	0.776
856853	2543453	0.776
852191	2539286	0.776
856853	2539286	0.776
852188	2541198	0.14
852187	2539692	1.667
852185	2543460	0.522
852181	2543466	0.185
852180	2538744	0.902
852177	2541526	2.195
852172	2541611	0.367
852170	3361381	1.072
852169	2539649	1.698
852168	2542372	0.908
852286	2541115	2.195
852287	2543620	0.691
852288	2541402	0.906
852289	2542588	0.33
852291	2543267	1.922
852293	2542190	1.564
852294	2542463	0.508
855701	2542463	0.508
852294	2539991	0.508
855701	2539991	0.508
852294	2541200	0.508
855701	2541200	0.508
855700	2542467	0.862
852295	2542467	0.862
855700	2539804	0.862
852295	2539804	0.862
855700	2541220	0.862
852295	2541220	0.862
852296	2542011	1.516
852302	2539000	0.227
852305	2542046	1.534
852306	2541407	1.746
852307	2541411	2.195
852313	2541434	1.819
852314	2542100	0.568
852316	2539494	1.041
852317	2540017	1.383
852319	2539780	1.583
852322	2543492	1.358
852323	2542998	0.885
852325	2539826	0.706
852326	2542858	2.195
852327	2539839	0.813
852330	2540846	0.594
852335	2538826	0.776
851589	2542904	0.778
852337	2542904	0.778
851589	2543120	0.778
852337	2543120	0.778
852344	2541185	1.203
852346	2540296	0.61
852349	2541157	1.298
852352	2541159	0.545
852353	2543625	1.179
852357	2538974	0.316
852362	2541499	0.307
852364	2540977	0.149
852366	2539157	0.744
852370	2539046	0.519
852371	2539938	1.249
852372	2542410	2.195
852373	2540408	0.712
852379	2539178	0.676
852254	2539178	0.676
852378	2540300	2.195
852378	2541217	2.195
852382	2541167	0.341
852383	2540215	1.064
852385	2540020	0.833
852386	2542878	0.316
852389	2541339	0.491
852391	2542924	1.014
852394	2539996	1.564
852397	2540288	0.243
852399	2538701	0.199
852403	2540080	0.439
852406	2543039	0.585
852407	2541937	0.928
852408	2541356	0.603
1466445	3361305	0.099
852411	2538860	2.195
852412	2542079	2.195
852414	2540441	2.195
856195	2541984	2.195
852415	2541984	2.195
856195	2539917	2.195
852415	2539917	2.195
856195	2539035	2.195
852415	2539035	2.195
852421	2542856	0.307
852423	2542660	2.195
852424	2543408	2.195
852431	2540099	0.87
852432	2540027	0.5
852433	2540719	1.746
852434	2541366	0.215
852438	2543414	0.397
852439	2540874	1.443
852440	2542148	2.05
852443	2542620	0.403
852444	2542262	0.394
852450	2540625	0.227
852451	2541910	0.839
852452	2542172	0.769
852456	2543099	0.873
852457	2539869	1.358
852458	2538722	0.904
852459	2541329	1.176
852464	2539274	1.734
852466	2539457	0.098
852468	2539821	1.637
852469	2541043	0.251
852471	2539122	0.211
852474	2542731	0.564
852477	2539859	1.183
856015	2543581	1.132
852479	2543581	1.132
852485	2542208	0.5
852489	2540950	0.809
852491	2543465	1.107
852492	2540761	0.206
852495	2539625	2.195
852497	2539353	1.959
852499	2541726	0.777
852501	2540630	2.195
852514	2543624	0.292
852515	2541117	0.744
852518	2542368	0.194
852519	2539661	2.195
852521	2540573	1.027
852522	2540273	1.649
852523	2539253	1.698
852529	2541657	0.365
852530	2543277	2.195
852533	2539434	0.348
852535	3361558	0.071
852536	2540002	0.952
852537	2540830	2.195
852538	2539280	0.781
852539	2538936	1.564
852545	2539795	1.425
852548	2539212	0.391
852549	2539887	1.12
852550	2541224	2.195
852551	2542631	1.589
852553	2543504	0.558
852554	2543669	0.534
852556	2539833	0.359
852559	2539183	0.615
852560	2539947	0.146
852563	2540635	0.565
852564	2542340	0.634
852568	2539289	0.293
852572	9407048	0.207
852574	2539044	0.318
852577	2539087	0.918
852582	2543560	0.24
852583	2540997	0.152
852585	3361547	0.13
852590	2541955	0.882
852594	2542456	0.882
852597	2543130	2.195
852597	2540681	2.195
850354	2541774	0.7
850352	2541243	1.158
2732686	3361294	0.129
850348	2540022	0.81
850347	2540787	0.389
850346	2542567	0.499
2746859	2542784	0.161
850344	2543078	0.242
850343	2540403	2.195
850342	2540283	1.48
850327	2539650	1.674
850326	2541174	0.15
850324	2540772	0.36
850323	2540327	0.316
850321	2542648	0.17
850319	2541826	0.377
850317	2543607	0.996
850314	2541460	0.978
850312	2542716	0.509
850310	2543057	0.316
850305	2539243	0.102
850304	2542112	2.195
850300	2543313	0.206
850298	2540544	1.546
850358	2543513	1.292
850359	2539681	0.112
850366	2542804	1.595
850367	2541160	1.136
850370	2539764	2.037
850373	2539837	0.13
850376	2542152	2.195
850381	2542315	0.433
850388	2539632	1.106
850391	2541177	0.658
850392	2540853	0.491
850394	2540342	1.249
850395	2541933	0.103
850397	2540817	0.629
850397	5802781	0.629
850400	2542505	1.011
850402	2539822	0.457
850409	2543107	1.977
850411	2543664	0.438
850413	2543125	0.105
850414	2542685	1.019
850418	2538792	0.273
850420	2542653	1.995
850422	2541182	2.195
850423	2541824	0.531
850425	2540266	0.79
850427	2540434	0.582
850430	2539686	0.484
850432	2541924	1.261
850434	2543635	0.123
850435	2539380	2.134
850440	2540778	0.668
850441	2543095	0.243
850445	2542299	1.231
850452	3361316	0.227
850454	2543392	1.577
850455	2542001	1.01
850456	2539922	1.164
850462	2539731	0.771
850466	2541784	0.292
851563	2539175	1.419
851560	2540185	0.378
851558	2539495	0.791
851557	2540939	2.195
851554	2543187	0.269
851548	2540479	1.376
851547	2541070	0.479
851545	2541165	0.983
851543	2540357	1.613
851539	2541502	1.165
851532	5802965	2.086
851531	2540932	0.622
851530	2543197	2.195
851529	2541868	0.777
851525	2542607	1.285
851521	2539338	1.174
851518	2540622	0.215
851516	2539270	0.408
851515	2542645	0.078
851514	2543332	0.279
851513	2538758	1.698
851509	2541530	0.413
851508	2542560	0.643
851504	2538743	1.94
851503	2541871	0.534
851501	2542708	0.908
851499	2541779	1.977
851495	2542196	0.72
851493	2542598	2.025
851492	2539086	0.142
851487	2543291	0.208
851483	2539374	0.115
851482	2541859	0.366
851478	2543217	0.233
851477	2543553	0.474
855174	2543559	0.728
851476	2543559	0.728
855174	2540812	0.728
851476	2540812	0.728
851475	2542433	2.195
851473	2542345	0.109
851471	2539055	0.503
851468	2542380	0.756
851467	2539260	0.355
851462	2541418	1.51
851461	2541807	1.376
851458	2542928	1.159
851456	2540255	2.195
851455	2540183	1.145
851454	2539074	0.805
851453	3361330	0.201
851450	2540471	1.148
851447	2540116	0.155
851444	2539946	0.268
851442	2541789	0.069
851441	3361255	0.464
851440	2542740	0.579
851439	2543361	0.677
851437	2539143	0.235
851433	2542483	0.657
851432	2538824	0.498
851431	2542744	2.195
851429	2539393	1.249
851425	2539815	2.195
851424	2542393	1.492
851421	2540072	1.795
851420	2543214	0.451
851419	2539308	0.369
851336	2539308	0.369
851418	2540899	1.067
851415	2540292	2.195
851415	2541094	2.195
851414	2540476	1.19
851412	2540053	2.195
851410	2541412	2.195
851408	2542907	1.261
851408	2543347	1.261
851407	2540674	1.033
851406	2539850	1.613
851403	2541000	0.698
851394	2541216	2.195
851391	2541849	2.195
851389	2538778	0.358
851388	2538752	0.499
851387	2542253	0.756
851386	2538802	1.831
851384	2539398	0.294
851383	2543509	2.195
851376	2541151	2.019
851347	2539524	0.128
851346	2539815	2.195
851345	2541865	0.163
851342	2541660	1.686
851337	2542023	1.728
851419	2539308	0.369
851336	2539308	0.369
851334	2540399	0.428
851332	2541273	1.279
851329	2538713	1.516
851327	2541704	0.109
851326	2539574	1.088
851325	2542402	0.12
851322	3361383	0.817
851320	2540395	0.576
851319	2542369	0.646
851318	2542531	0.576
851317	2543419	0.95
851314	2540800	0.176
851313	2540924	0.252
851311	2539148	2.195
851310	2541529	0.437
851309	2540483	0.362
851307	2543253	0.486
851372	2539181	0.588
851369	2542875	2.195
851369	2541815	2.195
851369	2540199	2.195
851369	2539225	2.195
851368	2542677	0.481
851364	2543609	1.285
851362	2539960	0.801
851360	2539231	1.237
851358	2541022	1.698
851353	2539108	1.577
851564	2541115	2.195
851565	2540142	0.634
851567	2542007	0.439
851568	2542394	0.322
851572	2541380	1.613
851574	2543363	2.195
851574	2539195	2.195
851575	2539780	1.583
851576	2541324	0.377
851579	2542311	0.086
851582	2543195	1.14
851584	2541602	1.916
851587	2542163	2.195
851589	2542904	0.778
852337	2542904	0.778
851589	2543120	0.778
852337	2543120	0.778
851591	2541725	0.166
851596	2543686	0.845
851597	2538730	0.266
851606	2540394	0.623
851607	2539746	2.195
851608	2541204	2.195
851609	2541204	2.195
851610	2541204	2.195
851611	2540539	0.376
851614	2541934	1.285
851615	2541521	0.348
851617	2539032	1.589
851618	2539188	0.87
851620	2538729	0.958
851627	2541459	0.126
851631	2540083	0.911
851632	2543648	1.825
851633	2543203	0.576
851634	3361415	1.977
851635	2542259	0.144
851636	2542108	0.843
851641	2540837	0.644
851643	2543681	0.233
851646	2542577	1.946
851652	2540257	0.17
851653	2542058	0.65
851654	2543290	0.227
851656	2543219	0.776
851657	2540332	0.31
851659	2543140	0.19
851660	2541297	0.272
851661	2540941	0.229
851664	2541787	0.393
851665	2539753	2.195
851666	2542925	0.717
851667	2541560	2.195
851667	2543523	2.195
851667	2541239	2.195
851671	2539215	2.195
851672	2540578	0.679
851677	2542733	0.083
851678	2540457	0.405
851682	2543369	0.933
851685	2540158	1.51
851690	2540891	1.492
851692	2540621	0.158
851694	3361520	0.237
851698	2540604	1.498
851699	2540966	0.132
851700	2540792	1.358
851705	2542115	2.195
851706	2541877	1.661
851707	2539765	2.195
851713	2543193	2.195
851713	2540937	2.195
851717	2540129	0.257
851718	2542476	0.364
851719	2543220	0.485
851720	5802962	0.457
851722	3361468	0.218
851726	2541170	1.577
851730	2538880	0.147
851733	2540269	0.91
851736	2539267	1.383
851739	2539899	0.197
851740	2539237	0.148
851742	2538850	0.817
851743	2539246	0.336
851745	2540614	0.356
851746	2541293	0.734
851748	2542107	2.195
851748	2543610	2.195
851752	2539479	2.177
851753	2543061	0.313
851755	2541429	0.2
851756	2540436	0.441
851757	2540277	0.736
851761	2542657	0.515
851763	2543429	0.853
851764	3361430	0.251
851768	2541128	2.195
851770	2539096	1.546
851771	2543227	2.195
851772	2542366	0.813
851777	2538759	0.618
851779	2539232	0.195
851782	5802726	0.08
851785	2541625	0.716
851789	2542231	1.528
851797	2542017	1.898
851798	2539691	2.195
851800	2539806	0.781
851812	2542704	1.086
851814	2543037	0.461
851817	14217741	0.086
851818	2542028	1.704
851819	3361269	0.073
851820	2542867	2.195
851822	2539192	0.336
851823	2540459	0.502
851824	2539798	2.195
851829	3361182	1.123
851830	2538728	1.243
851832	2543384	1.019
851833	2540976	0.17
851835	2543385	0.376
851841	2541321	0.208
851843	2539418	1.855
851844	2543346	0.265
851845	2540026	2.195
851845	2540898	2.195
851855	2540094	0.061
851857	2541757	0.843
851861	2543249	0.93
851862	2540525	1.819
851865	2542447	0.74
851869	2541129	0.125
851874	2539106	1.076
851877	2540500	2.195
851878	2541078	0.535
851884	2540220	0.222
851885	2542036	2.195
851886	2540909	1.065
851887	2539180	1.473
851891	2541225	0.761
851892	2539241	0.387
851893	2543540	0.42
851894	2542273	1.467
851895	2539694	0.929
851900	2542810	0.648
851903	2540209	0.152
851906	2542336	0.534
851908	2540987	0.259
851910	2538790	0.115
851911	2540448	0.485
851917	2540872	0.152
851919	5802828	0.147
851921	2540365	0.372
851923	2542423	0.572
851924	2540514	1.68
851925	2539121	1.187
851926	2540703	0.756
851928	2540917	0.611
851930	2541532	0.572
851931	2539272	1.401
851932	2539613	0.906
851934	3361561	2.195
851935	2542592	1.108
851937	2539962	0.251
851938	2539460	1.196
851939	2540218	0.827
851942	2540548	2.195
851947	2538896	0.536
851955	3361358	1.746
851956	2540065	0.708
851963	2538703	0.389
851964	2540424	0.322
851968	2541168	1.041
851969	2540076	1.148
851973	2541523	0.138
851978	3361544	1.225
851979	2542523	0.861
851981	2543663	1.637
851982	2541049	0.843
851983	2539609	0.219
851984	2541997	0.131
851986	2543362	0.185
851988	2540565	0.262
851990	2540587	0.221
854301	3361483	2.195
851993	3361483	2.195
854301	2539544	2.195
851993	2539544	2.195
851994	2539004	0.67
851996	2540633	1.196
851998	2539967	1.358
852000	2539440	0.085
852001	2539570	0.961
852002	2543230	0.582
852003	2539539	2.171
852006	2540406	0.394
852007	2543388	0.504
852009	2542154	0.476
852013	2542097	0.683
852014	2543038	0.17
852015	2543363	2.195
852015	2539195	2.195
852016	2542375	0.396
852017	2538712	0.528
852018	2541580	0.535
852019	2542982	0.559
852020	2541072	0.097
852023	2541909	0.17
852025	2540753	0.769
856656	2539186	0.833
852026	2539186	0.833
856656	2539010	0.833
852026	2539010	0.833
852028	2539666	0.672
852034	2543530	0.295
852035	2539722	0.344
852037	2543114	0.857
852039	2540819	0.533
852041	2540111	2.195
852044	2542284	0.297
852045	2541346	0.336
852058	2541229	0.611
852059	2539174	1.273
852061	2540180	0.757
854982	2540180	0.757
852061	3361064	0.757
854982	3361064	0.757
852063	2541140	0.874
852065	2539674	0.68
852066	2542747	2.013
852068	2542537	2.195
852071	2540684	0.669
852073	2543588	0.113
852076	2542686	0.695
852079	2540973	0.185
852081	2542501	0.322
852083	2540014	0.32
852084	2541686	0.281
852088	2539109	1.831
852090	2539112	0.159
852092	2539926	1.407
852095	2540233	0.352
852097	2538774	0.273
852098	2540577	0.802
852100	2541368	0.316
852104	14217716	0.105
852107	2538833	1.225
852113	2539943	2.195
852122	2540927	0.306
852123	2541309	0.275
852124	2543556	0.243
852135	2541473	0.838
852142	2539439	0.342
852144	2540815	0.885
852146	2539466	0.649
856716	2539520	0.509
856715	2541498	0.283
856714	2539611	0.588
856704	2540738	0.742
856702	2541010	2.195
856700	2540639	0.188
856694	2541142	1.413
856693	2539125	0.322
856692	2538768	0.902
856691	2540746	1.431
856689	2540075	0.958
856687	2542663	0.675
856686	2542471	0.821
856682	2543026	2.195
856681	2542381	2.195
856680	2538838	2.195
856675	2539685	1.595
856674	2540481	0.67
856673	2543661	0.427
856672	2539146	0.514
856670	2543649	0.857
856669	2541834	1.455
856667	2541949	0.249
856665	2541852	1.043
856660	2539321	1.174
856659	2539581	0.965
856658	2540093	1.11
856657	2539689	0.157
856656	2539186	0.833
852026	2539186	0.833
856656	2539010	0.833
852026	2539010	0.833
856655	2539834	0.876
856654	2539214	0.897
856652	2542320	1.48
856649	2543097	1.273
856647	2541840	0.37
856719	2539893	0.226
856720	2540428	1.249
856722	2538741	1.237
856723	2540469	1.267
856725	2540396	0.655
856724	2541847	0.223
856727	2542783	0.588
856731	2543122	0.805
856732	2542978	2.195
856732	2540057	2.195
856732	2540006	2.195
856732	2540707	2.195
856733	2541631	0.481
856736	2542123	0.54
856737	2541079	2.195
856740	2540282	0.187
856739	2541113	0.831
856741	2541720	1.005
856742	2540109	1.112
856744	2543212	0.518
856746	2539738	2.195
856748	2538911	0.776
856751	2542684	0.194
856753	2542219	0.93
856758	2540078	2.195
856765	2542181	0.413
856766	2541218	2.195
856767	2541026	0.324
856770	2543049	0.083
856772	2543672	0.795
856774	2539888	0.101
856775	2541179	1.455
856776	2538921	0.159
856777	2539481	0.443
856778	2540602	1.928
856779	2539652	1.186
856782	2542720	1.128
856790	2541226	1.104
856794	2539803	1.038
856800	2543391	2.195
856801	2541695	2.195
856803	2540771	0.635
856804	2542976	1.928
856805	2539848	0.591
854741	2539848	0.591
856806	2542215	0.233
856811	2542952	1.197
856815	2543484	1.649
856819	2540162	1.989
856820	2540642	0.645
856823	2542008	1.057
856824	2538842	2.037
856825	2543585	2.195
856828	2539845	1.237
856830	2539401	0.964
856831	2543580	1.801
856836	2538924	1.516
856837	2541642	0.753
852206	2543354	1.06
856839	2543354	1.06
856840	2542875	2.195
856840	2541815	2.195
856840	2540199	2.195
856840	2539225	2.195
856844	2539741	1.298
856846	2539863	1.892
856848	2540475	0.182
852191	2543453	0.776
856853	2543453	0.776
852191	2539286	0.776
856853	2539286	0.776
856855	2540081	0.811
856856	2540009	0.268
856859	2541825	0.721
856862	2541818	2.195
856862	2539956	2.195
856863	2539413	1.285
856864	2542587	0.17
856866	2538951	0.988
856868	2543085	0.54
856870	2541193	2.001
856873	2541375	0.344
856876	2541727	2.086
856882	2542005	0.122
856883	2539819	0.702
856884	2541839	1.273
856885	2543565	0.155
856886	3361477	0.663
856888	2541557	1.041
856889	2540723	0.225
856891	2541582	1.213
856895	2541378	0.684
856898	2539811	0.409
856900	2543308	1.152
856901	2539758	0.632
856904	2542201	0.213
856909	2539465	0.647
856910	2540372	0.405
856911	2542363	2.195
856911	2543064	2.195
856912	2541505	2.068
856913	2541560	2.195
856913	2543523	2.195
856913	2541239	2.195
856915	2539578	1.035
856918	2542203	2.195
856919	2543676	2.195
856919	2539673	2.195
856924	2542029	1.346
856925	2541579	1.686
856926	2542106	1.443
856931	2543186	0.137
856932	2539626	0.243
850550	2541578	1.14
850549	2540598	1.216
850543	2543280	0.805
850540	2540557	2.195
850539	2543514	1.061
850532	2542035	0.109
850530	2539501	0.791
850529	2542332	0.267
850528	2540855	0.209
850527	2543269	2.183
850522	2543647	1.88
850520	2539428	0.599
850519	2542981	1.328
850518	2541606	0.182
850517	2541149	0.239
850516	2541846	0.764
850511	2539208	0.771
850508	2539016	0.81
850510	2542120	1.771
850507	2542687	2.195
850506	2540582	2.195
850505	2539784	1.031
850504	2540051	2.195
850502	2541558	1.358
850500	2542649	0.416
850499	2541674	1.31
850498	2542033	0.303
850497	2542617	1.134
850496	2540877	0.093
850494	2540298	1.51
850491	2541810	2.195
850490	2543301	1.783
850489	2539173	1.613
850486	2539108	1.577
850485	2542689	1.322
850552	2538861	1.225
850554	2543040	1.425
850555	2540864	0.784
850558	2541483	0.291
850561	2540597	2.195
850562	2541819	1.07
850574	2541154	1.322
850577	2542180	0.806
850581	2538785	0.574
850585	2542358	1.358
850588	2538821	1.862
850589	2541319	2.195
854794	5802952	1.298
850590	5802952	1.298
854794	2540366	1.298
850590	2540366	1.298
854794	2541191	1.298
850590	2541191	1.298
850592	2541172	0.183
850598	2541851	0.934
850602	2541520	0.382
850605	2539648	1.892
850609	2543091	0.811
850611	2540875	0.764
850612	2538953	0.658
850613	2540025	0.384
852883	2540634	1.106
852881	2542824	1.298
852878	2543477	2.195
852876	2542664	2.195
852876	2539012	2.195
852875	2543296	2.195
852874	2542322	0.238
852873	2541139	0.934
852872	2541740	1.734
852868	2541467	0.187
852867	2542941	0.508
852866	2542900	0.175
852865	2540306	0.605
852864	2540893	0.075
852862	2540190	2.195
852861	2540208	0.179
852858	2542240	2.195
852857	2542534	1.698
852854	2541698	0.111
852853	2542661	0.455
852850	3361533	0.154
852846	2540906	0.215
852842	2542373	1.334
852839	2541941	0.604
852835	2543352	0.287
852834	2540487	2.177
852832	2542730	0.477
852826	2543081	0.381
852825	2538753	1.564
852822	2542622	0.857
852818	2539661	2.195
852815	2539854	1.225
852814	2538769	0.328
852813	2540122	0.535
852811	2539530	0.342
852810	2541470	0.388
852802	2540213	1.643
852800	2539169	0.416
852798	2543045	0.188
852797	2541327	0.748
852796	2541508	1.401
852795	2540556	0.356
852793	2538720	0.631
852789	2543416	1.473
852788	2541547	0.516
852786	2541684	1.473
852785	2541485	1.298
852782	2541059	1.07
852779	2541449	1.601
852778	2541682	1.027
852777	2539410	0.586
852775	2539548	0.673
852773	2543087	0.703
852772	2541699	0.329
852770	14218053	0.093
852768	2538764	0.1
852767	2541163	0.206
852766	2539133	1.199
852763	5802929	1.136
852762	2543222	1.225
852758	2540411	1.625
852757	2542978	2.195
852757	2540057	2.195
852757	2540707	2.195
852754	2539067	1.114
852753	2542459	0.375
852752	2542993	1.977
852750	2539504	0.16
852748	2540507	0.194
852747	2540362	0.716
855881	2539222	1.069
852742	2539222	1.069
852741	2540444	0.424
852740	2540050	2.195
852737	2542709	0.175
852736	2542770	1.079
852735	2539152	0.651
852734	2541478	0.967
852733	2543617	0.762
852729	2538817	1.892
852728	3361566	2.195
852724	2540079	0.263
852722	2541514	0.302
852721	2543485	2.195
852720	2543471	0.681
852715	2541426	0.098
852713	2542749	2.195
852712	2539008	0.568
852709	2540383	2.195
852707	2539596	1.249
852704	2541786	1.225
852703	2541890	0.362
852702	2542204	2.195
852701	2538931	0.182
852695	2539461	1.172
852694	2540709	0.341
852692	2542548	0.135
852691	2539019	1.095
852688	2543025	0.509
852685	2541519	1.813
852684	2538807	0.239
852681	2543643	1.783
852680	2542235	2.195
852679	2542996	0.994
852676	2543575	0.097
852675	2539350	0.457
852673	2540784	2.195
852672	2543350	1.116
852670	2540202	0.807
852666	2542078	2.195
852665	2541355	2.195
852664	2539130	0.382
852661	2540314	1.564
852659	2540221	0.197
852655	2540361	1.601
852652	2542160	0.198
852651	2539063	0.688
852648	2541562	0.623
852647	2542850	1.285
852620	2539075	0.356
852619	3361329	0.301
852617	2541034	2.195
852616	2540415	2.013
852612	2540419	2.195
852611	2540307	0.331
852610	2541885	0.232
852609	2542971	0.316
852608	2540035	0.469
852607	2541123	0.494
852606	2542408	2.195
852646	2542540	0.4
852644	2539207	0.367
852642	3361128	0.105
852639	2542634	1.558
852637	2539655	0.825
852885	2542412	0.533
852886	2542637	0.713
852888	2539924	0.432
852890	2542775	0.606
852892	2540623	0.509
852895	2542583	1.261
852902	2542494	1.667
852903	2540982	0.438
852904	2541235	0.358
852908	2539571	0.788
852915	2539116	0.964
852916	2543175	0.437
852919	2541745	0.518
852920	2542591	2.195
852920	2541586	2.195
852920	2540737	2.195
852920	2538822	2.195
852924	2540904	0.3
852925	2539982	0.317
852926	2540054	0.536
852931	2542474	1.486
852937	2540640	0.608
852938	2539187	1.106
852939	2539623	0.901
852945	2540999	1.132
852951	2543373	1.285
852952	2542871	2.195
852955	2540700	0.221
852957	2543442	0.197
852964	2542690	0.213
852967	2542604	0.152
852969	2543378	0.397
852971	2539064	0.149
852973	2542959	0.316
852974	2542064	0.962
852976	2541591	1.008
852976	2539846	1.008
852977	2539093	1.174
852978	2543400	1.922
852982	2541176	1.13
852983	2540045	0.549
852985	2541461	0.372
852986	2540197	2.195
852987	2539660	0.279
852988	2540155	0.389
852992	2540535	1.68
852993	2540108	0.354
852995	2540659	1.674
852997	9407312	0.103
853007	2542281	0.524
853009	2540192	0.332
853011	2541605	2.122
853015	2542012	0.837
856250	2542012	0.837
853015	2541369	0.837
856250	2541369	0.837
853016	2540775	0.499
853023	2541004	1.577
853025	2539704	2.195
853026	2542625	1.995
853033	2542354	1.376
853036	3361518	1.09
853039	2541015	1.522
853047	2540526	1.192
853048	2538997	2.031
853050	2540058	0.147
853051	2541570	0.506
853052	2541180	0.699
853061	2540538	1.322
853072	2539088	1.047
853075	2539986	0.118
853077	2541305	0.207
853081	2541577	1.225
853082	2539076	0.511
853083	2540303	1.51
853086	2541106	1.147
853093	2542145	0.22
853095	2539153	0.093
853096	2540764	0.714
853097	2539269	1.564
853098	2539294	0.643
853099	2542675	0.859
853100	2538736	0.839
853107	2539081	0.453
853108	2539441	1.395
853109	2543451	0.627
853114	2538986	1.54
853116	2539176	1.012
853117	2541214	0.085
853118	2540300	2.195
853118	2541217	2.195
853119	2543381	0.463
853121	2542385	0.867
853122	2540968	0.625
853124	2540972	1.758
853125	2542778	1.807
853126	2542613	0.109
853128	2541144	1.044
853129	2540477	0.128
853130	2540323	0.687
853131	2542812	2.195
853133	3361487	2.195
853135	2543386	0.732
853138	2543338	0.474
853140	2542840	0.583
853142	2543245	0.596
853144	2540339	0.507
853146	2538888	1.298
853147	2542919	0.322
853149	2542104	0.602
853155	2539972	2.195
853158	2541475	0.312
853159	2539168	1.504
853160	2539889	1.995
853161	2540071	1.035
853167	2542513	1.765
853168	2543205	1.201
853169	2539782	2.122
853170	2539672	0.946
853172	2541146	2.195
853173	2541312	0.546
853174	2541051	0.922
853175	2543005	1.043
853177	2541771	0.722
853178	2541953	0.431
853179	2541394	0.256
853181	2540052	2.195
853183	2542406	1.001
853185	2542245	0.23
853186	2543084	2.195
853188	2543142	0.21
853187	2543676	2.195
853187	2539673	2.195
853190	2540581	0.113
853191	2541848	1.898
853193	2543505	0.784
853194	2541427	0.34
853195	2539941	0.801
853199	2542700	0.92
853201	2539516	0.63
853202	2539801	0.983
853203	2538717	1.419
856388	2542425	0.457
856387	2540055	0.683
856386	2540466	0.992
856384	2541569	0.712
856376	2542333	0.964
856373	2542554	0.5
856371	2539449	0.44
856370	2540527	2.147
856368	2541617	0.067
856364	2542150	0.244
856362	2541073	0.235
856361	2542861	0.451
856355	3361455	1.216
856354	2542969	0.146
856352	2540517	1.261
856350	2543059	2.195
856350	2543193	2.195
856350	2540937	2.195
856338	2540217	0.839
856389	2539266	1.237
856390	2541331	0.069
856391	2542177	0.989
856395	2541950	0.245
856398	2542599	1.734
856399	2542886	0.651
856400	2541471	0.502
856401	2541156	0.651
856402	2541567	0.979
856403	2542802	0.389
856404	2542765	0.575
856409	2543305	1.205
856411	2539950	2.074
856412	2540046	2.195
856413	2540431	2.195
856415	2539969	0.414
856418	2543576	2.195
856418	2539513	2.195
856419	2540713	1.334
856420	2540857	1.298
856421	2541999	0.738
856422	2541268	2.195
856423	2542415	1.758
856424	3361177	0.742
856425	2539920	1.698
856431	2543596	0.215
856432	2540387	1.946
856433	2540194	0.067
856434	2540508	1.94
856435	2540172	0.113
856438	2541038	1.425
856443	2540648	2.195
856448	2542493	0.364
856455	2543263	0.301
856456	2540876	0.133
856459	2543062	0.474
856460	2541389	0.764
856461	2542131	1.334
856462	2543571	1.813
856463	2542610	0.937
856464	2539744	0.232
856465	2539832	1.492
856466	2541813	1.068
856467	3361429	1.261
856468	3361406	0.182
856470	2542882	2.195
856471	2542636	0.246
856472	2541796	1.093
856473	2539475	2.195
